adj.P.Val,logFC,Gene.symbol,Gene.title
0.306,-0.29323667,SH3PXD2A,SH3 and PX domains 2A
0.306,-0.32291555,MYBPC3,"myosin binding protein C, cardiac"
0.306,-0.35214825,,
0.306,-0.42990838,PLAA,phospholipase A2 activating protein
0.306,-0.60094769,RGS13,regulator of G-protein signaling 13
0.307,0.44362086,PIM2,"Pim-2 proto-oncogene, serine/threonine kinase"
0.307,0.28473595,GLMN,"glomulin, FKBP associated protein"
0.307,0.26262467,PLEKHO2,pleckstrin homology domain containing O2
0.307,0.26232397,C6orf47,chromosome 6 open reading frame 47
0.307,0.24160405,GTF2A2,general transcription factor IIA subunit 2
0.307,0.22654887,RBCK1,RANBP2-type and C3HC4-type zinc finger containing 1
0.307,0.18370451,BRD2,bromodomain containing 2
0.307,-0.27251567,TNFRSF8,TNF receptor superfamily member 8
0.307,-0.36885207,NRP1,neuropilin 1
0.307,-0.43094667,DKFZP547J0410,DKFZP547J0410 protein
0.308,0.34681003,SKP2,"S-phase kinase-associated protein 2, E3 ubiquitin protein ligase"
0.308,0.23431102,CDH13,cadherin 13
0.308,0.18789741,CDC23,cell division cycle 23
0.308,0.16595543,AZIN1,antizyme inhibitor 1
0.308,0.14983058,LOC101930388///LOC101928143///NUMB,"uncharacterized LOC101930388///uncharacterized LOC101928143///NUMB, endocytic adaptor protein"
0.308,0.10688766,NUP98,nucleoporin 98
0.308,-0.20041528,MDC1,mediator of DNA damage checkpoint 1
0.308,-0.26054919,ZNF268,zinc finger protein 268
0.308,-0.29816819,FILIP1L,filamin A interacting protein 1 like
0.308,-0.40876751,OPRM1,opioid receptor mu 1
0.308,-0.52493095,PF4V1,platelet factor 4 variant 1
0.309,0.26275302,P4HA1,prolyl 4-hydroxylase subunit alpha 1
0.309,-0.25369767,PLCG2,phospholipase C gamma 2
0.309,-0.28547718,GRM1,glutamate metabotropic receptor 1
0.31,0.52507081,LGALS2,galectin 2
0.31,-0.28747596,CYP11B2///CYP11B1,cytochrome P450 family 11 subfamily B member 2///cytochrome P450 family 11 subfamily B member 1
0.31,-0.30934595,,
0.31,-0.37514679,SELP,selectin P
0.311,0.24456872,APOBEC3C,apolipoprotein B mRNA editing enzyme catalytic subunit 3C
0.311,0.21726422,SCP2,sterol carrier protein 2
0.311,0.15587453,OAZ1,ornithine decarboxylase antizyme 1
0.311,-0.24796622,TXNL4A,thioredoxin like 4A
0.311,-0.25613312,TULP3,tubby like protein 3
0.311,-0.31454101,KCNA4,potassium voltage-gated channel subfamily A member 4
0.311,-0.32312306,ZNF646,zinc finger protein 646
0.311,-0.40380751,MDM4,"MDM4, p53 regulator"
0.311,-0.4578445,G6PC,glucose-6-phosphatase catalytic subunit
0.311,-0.51686805,,
0.311,-0.55203656,PAK5,p21 (RAC1) activated kinase 5
0.312,0.24712967,SLC38A10,solute carrier family 38 member 10
0.312,-0.12090265,SRF,serum response factor
0.312,-0.12336526,BPHL,biphenyl hydrolase like
0.312,-0.26383102,GUCY1B3,guanylate cyclase 1 soluble subunit beta
0.312,-0.27082254,UROS,uroporphyrinogen III synthase
0.312,-0.31224368,ITGB3,integrin subunit beta 3
0.313,-0.30500172,MMP16,matrix metallopeptidase 16
0.314,0.346458,SMAD5,SMAD family member 5
0.314,0.34644288,RAD9A,RAD9 checkpoint clamp component A
0.314,0.33831543,GPR161,G protein-coupled receptor 161
0.314,0.31120055,KLK6,kallikrein related peptidase 6
0.314,0.27043457,CD2BP2,CD2 cytoplasmic tail binding protein 2
0.314,0.21513156,CNN3,calponin 3
0.314,-0.15019502,MEN1,menin 1
0.314,-0.24443634,CTSO,cathepsin O
0.314,-0.30805605,EEF1E1,eukaryotic translation elongation factor 1 epsilon 1
0.314,-0.34755826,RBM38,RNA binding motif protein 38
0.314,-0.35417651,GATA6,GATA binding protein 6
0.314,-0.45247692,TNP2,transition protein 2
0.315,0.45130845,SMC2,structural maintenance of chromosomes 2
0.315,0.17829403,POLR2C,RNA polymerase II subunit C
0.315,-0.22647203,G3BP2,G3BP stress granule assembly factor 2
0.315,-0.23632948,GAS6,growth arrest specific 6
0.315,-0.36423472,KIR3DL2///KIR3DL1,"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2///killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1"
0.316,0.20888491,COPS5,COP9 signalosome subunit 5
0.316,-0.30234409,ITGA10,integrin subunit alpha 10
0.316,-0.37242649,HIST1H3I,"histone cluster 1, H3i"
0.317,-0.23304473,MAN1A1,mannosidase alpha class 1A member 1
0.317,-0.25711137,TCP11L1,t-complex 11 like 1
0.317,-0.39203671,,
0.317,-0.42607396,RAB9BP1,"RAB9B, member RAS oncogene family pseudogene 1"
0.318,-0.16897013,CYLD,CYLD lysine 63 deubiquitinase
0.318,-0.26712655,IFRD1,interferon related developmental regulator 1
0.318,-0.43934463,VPS13A,vacuolar protein sorting 13 homolog A
0.319,0.3916797,TNFSF14,tumor necrosis factor superfamily member 14
0.319,0.32302873,FHL2,four and a half LIM domains 2
0.319,0.22989237,NSG1,neuron specific gene family member 1
0.319,-0.12845596,DNAJC16,DnaJ heat shock protein family (Hsp40) member C16
0.319,-0.23578395,AKAP13,A-kinase anchoring protein 13
0.319,-0.29365754,B3GNT3,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3"
0.319,-0.34773813,NSFL1C,NSFL1 cofactor
0.319,-0.48819679,PRG4,proteoglycan 4
0.32,0.51631147,FAS,Fas cell surface death receptor
0.32,-0.30529694,,
0.32,-0.36464303,FBP1,fructose-bisphosphatase 1
0.32,-0.46329026,CACNA1E,calcium voltage-gated channel subunit alpha1 E
0.321,0.38525541,RBBP6,"RB binding protein 6, ubiquitin ligase"
0.321,-0.28006525,RANBP6,RAN binding protein 6
0.321,-0.34335056,HYAL1,hyaluronoglucosaminidase 1
0.322,0.42939943,GPR4,G protein-coupled receptor 4
0.322,0.28254103,PHF20,PHD finger protein 20
0.322,-0.17291834,ACD,adrenocortical dysplasia homolog
0.322,-0.17520842,CEP350,centrosomal protein 350
0.322,-0.17684711,SGSH,N-sulfoglucosamine sulfohydrolase
0.322,-0.19290046,ZKSCAN1,zinc finger with KRAB and SCAN domains 1
0.322,-0.28405201,SOX21,SRY-box 21
0.322,-0.38506853,BEAN1,"brain expressed, associated with NEDD4, 1"
0.323,0.24489685,LIN37,lin-37 DREAM MuvB core complex component
0.323,0.22866734,ID3,"inhibitor of DNA binding 3, HLH protein"
0.323,-0.27356037,SERPINB9,serpin family B member 9
0.324,0.19334818,EDEM1,ER degradation enhancing alpha-mannosidase like protein 1
0.324,-0.16855048,MTIF2,mitochondrial translational initiation factor 2
0.324,-0.18054137,SARAF,store-operated calcium entry associated regulatory factor
0.324,-0.27515481,ZNF24,zinc finger protein 24
0.324,-0.35889792,ITPKA,inositol-trisphosphate 3-kinase A
0.324,-0.38991964,,
0.324,-0.4423596,F2RL2,coagulation factor II thrombin receptor like 2
0.325,0.14518334,NACA,nascent polypeptide-associated complex alpha subunit
0.325,-0.27561911,HTR1B,5-hydroxytryptamine receptor 1B
0.325,-0.28722762,COL19A1,collagen type XIX alpha 1 chain
0.325,-0.34925911,E2F1,E2F transcription factor 1
0.326,0.73484761,TGM1,transglutaminase 1
0.326,0.27093306,INPP1,inositol polyphosphate-1-phosphatase
0.326,0.18922073,ZCCHC14,zinc finger CCHC-type containing 14
0.326,-0.15840321,PRUNE1,prune exopolyphosphatase
0.326,-0.33695965,UBFD1,ubiquitin family domain containing 1
0.326,-0.34224192,PCBP4,poly(rC) binding protein 4
0.326,-0.41508168,ENPP2,ectonucleotide pyrophosphatase/phosphodiesterase 2
0.326,-0.76752512,TGM3,transglutaminase 3
0.327,0.34836351,ELK4,"ELK4, ETS transcription factor"
0.327,0.33203051,CD74,CD74 molecule
0.327,0.27008941,SLA,Src-like-adaptor
0.327,0.19174825,MANBA,mannosidase beta
0.327,0.18119606,ZNF22,zinc finger protein 22
0.327,0.13021245,MIR6758///MARS,microRNA 6758///methionyl-tRNA synthetase
0.327,-0.19898462,LIG4,DNA ligase 4
0.327,-0.30150572,TECPR2,tectonin beta-propeller repeat containing 2
0.327,-0.34244002,OLIG2,oligodendrocyte lineage transcription factor 2
0.327,-0.3729623,AVPR1B,arginine vasopressin receptor 1B
0.328,0.33967819,MIR4680///PDCD4,microRNA 4680///programmed cell death 4 (neoplastic transformation inhibitor)
0.328,0.25694175,EDRF1,erythroid differentiation regulatory factor 1
0.328,-0.18200971,SNRNP70,small nuclear ribonucleoprotein U1 subunit 70
0.328,-0.19245946,EDA,ectodysplasin A
0.328,-0.19975762,SLC25A36,solute carrier family 25 member 36
0.328,-0.21828192,FAM69A,family with sequence similarity 69 member A
0.328,-0.33415992,ADH6,alcohol dehydrogenase 6 (class V)
0.328,-0.35296393,C10orf12,chromosome 10 open reading frame 12
0.329,0.24396797,SWAP70,SWAP switching B-cell complex 70kDa subunit
0.329,-0.13500009,RHBDF1,rhomboid 5 homolog 1
0.329,-0.17960015,YIPF2,Yip1 domain family member 2
0.329,-0.35045053,ARFGEF2,ADP ribosylation factor guanine nucleotide exchange factor 2
0.33,0.45509247,GAL,galanin and GMAP prepropeptide
0.33,0.28729045,GRK3,G protein-coupled receptor kinase 3
0.33,0.17382418,CHST3,carbohydrate sulfotransferase 3
0.33,-0.23048347,CBX6,chromobox 6
0.33,-0.25565669,TCF25,transcription factor 25
0.33,-0.29289031,RASGRF1,Ras protein specific guanine nucleotide releasing factor 1
0.33,-0.31092169,LOC101926921///DAB2,"uncharacterized LOC101926921///DAB2, clathrin adaptor protein"
0.331,0.20267314,CTNS,"cystinosin, lysosomal cystine transporter"
0.331,-0.21002485,CSF2,colony stimulating factor 2
0.331,-0.25668356,ZBTB33,zinc finger and BTB domain containing 33
0.331,-0.2573498,TCF4,transcription factor 4
0.331,-0.2686353,VIM,vimentin
0.331,-0.30085121,CASP10,caspase 10
0.331,-0.37867651,PDE3B,phosphodiesterase 3B
0.331,-0.37939936,CCL2,C-C motif chemokine ligand 2
0.331,-0.38694343,UGCG,UDP-glucose ceramide glucosyltransferase
0.331,-0.39964509,NOX1,NADPH oxidase 1
0.331,-0.42433694,GAD2,glutamate decarboxylase 2
0.331,-0.4256988,CYTIP,cytohesin 1 interacting protein
0.332,0.18930336,CAPN2,calpain 2
0.332,-0.14673933,ELK1,"ELK1, ETS transcription factor"
0.332,-0.25842988,POU2F3,POU class 2 homeobox 3
0.332,-0.33059342,GPR12,G protein-coupled receptor 12
0.333,0.20266001,HSPBP1,HSPA (Hsp70) binding protein 1
0.333,0.164038,MPG,N-methylpurine DNA glycosylase
0.333,-0.11060482,THOP1,thimet oligopeptidase 1
0.333,-0.24140832,ARID5A,AT-rich interaction domain 5A
0.333,-0.26278293,GPR3,G protein-coupled receptor 3
0.333,-0.29568238,POPDC2///COX17,"popeye domain containing 2///COX17, cytochrome c oxidase copper chaperone"
0.333,-0.32408103,PON3,paraoxonase 3
0.333,-0.34016645,,
0.334,0.32167318,FYN,"FYN proto-oncogene, Src family tyrosine kinase"
0.334,0.26759458,FAS,Fas cell surface death receptor
0.334,0.16789578,CUX1,cut like homeobox 1
0.334,-0.17470867,NUBP1,nucleotide binding protein 1
0.334,-0.19899152,CACTIN,"cactin, spliceosome C complex subunit"
0.334,-0.20798067,ADRA1D,adrenoceptor alpha 1D
0.334,-0.24982117,HSPA8,heat shock protein family A (Hsp70) member 8
0.334,-0.3365455,OR2H1,olfactory receptor family 2 subfamily H member 1
0.334,-0.54887434,IGKC,immunoglobulin kappa constant
0.335,-0.19377197,CAPZA2,capping actin protein of muscle Z-line alpha subunit 2
0.335,-0.22432748,SF1,splicing factor 1
0.335,-0.37298317,PRKCB,protein kinase C beta
0.336,0.32097019,RAD9A,RAD9 checkpoint clamp component A
0.336,0.31367309,ANGEL2,angel homolog 2
0.336,0.2326835,C5orf45,chromosome 5 open reading frame 45
0.336,0.21450102,CCNF,cyclin F
0.336,0.20891197,REL,"REL proto-oncogene, NF-kB subunit"
0.336,0.15992125,SMARCD2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2"
0.336,-0.16050157,IKBKG,"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma"
0.336,-0.35828234,CT62,cancer/testis antigen 62
0.337,0.31417824,E2F5,E2F transcription factor 5
0.337,0.29766705,EMP2,epithelial membrane protein 2
0.337,0.1634533,YTHDF3,YTH N6-methyladenosine RNA binding protein 3
0.337,0.12137275,LARP4,La ribonucleoprotein domain family member 4
0.337,-0.30072324,LMAN1,"lectin, mannose binding 1"
0.338,0.39153932,MMD,monocyte to macrophage differentiation associated
0.338,0.29148699,CES2,carboxylesterase 2
0.338,0.18369856,FANCG,Fanconi anemia complementation group G
0.338,-0.43287929,LECT2,leukocyte cell derived chemotaxin 2
0.339,0.64895224,EVI2B,ecotropic viral integration site 2B
0.339,0.22969986,TRPC4AP,transient receptor potential cation channel subfamily C member 4 associated protein
0.339,-0.19079286,SNORD96A///SNORD95///RACK1,"small nucleolar RNA, C/D box 96A///small nucleolar RNA, C/D box 95///receptor for activated C kinase 1"
0.339,-0.27447803,MAP3K13,mitogen-activated protein kinase kinase kinase 13
0.339,-0.3353074,BBS4,Bardet-Biedl syndrome 4
0.34,0.83939812,GUSBP11,"glucuronidase, beta pseudogene 11"
0.34,0.1781653,ATF6,activating transcription factor 6
0.34,-0.15425148,DIMT1,DIM1 dimethyladenosine transferase 1 homolog
0.34,-0.22590525,GATA2,GATA binding protein 2
0.34,-0.26887605,TGOLN2,trans-golgi network protein 2
0.34,-0.34931299,,
0.34,-0.53126408,PDZK1P1///PDZK1,PDZ domain containing 1 pseudogene 1///PDZ domain containing 1
0.341,0.35827104,CD163,CD163 molecule
0.342,-0.19588017,PTEN,phosphatase and tensin homolog
0.342,-0.19920741,TTC1,tetratricopeptide repeat domain 1
0.342,-0.39241684,,
0.343,0.16476469,CTR9,"CTR9 homolog, Paf1/RNA polymerase II complex component"
0.343,-0.26581531,WAS,Wiskott-Aldrich syndrome
0.344,0.20518311,MBTPS1,"membrane bound transcription factor peptidase, site 1"
0.344,-0.15517723,PI4KAP1///PI4KAP2///PI4KA,phosphatidylinositol 4-kinase alpha pseudogene 1///phosphatidylinositol 4-kinase alpha pseudogene 2///phosphatidylinositol 4-kinase alpha
0.344,-0.29924681,VPS13A,vacuolar protein sorting 13 homolog A
0.345,0.20117811,HINT1,histidine triad nucleotide binding protein 1
0.345,-0.23772146,WDR61,WD repeat domain 61
0.345,-0.25217857,SCGB1D1,secretoglobin family 1D member 1
0.345,-0.2559532,ZNF625-ZNF20///ZNF20,ZNF625-ZNF20 readthrough (NMD candidate)///zinc finger protein 20
0.345,-0.34486407,,
0.346,0.20563766,PDAP1,PDGFA associated protein 1
0.346,0.19286506,TTI1,TELO2 interacting protein 1
0.346,-0.13952432,MUTYH,mutY DNA glycosylase
0.346,-0.16392246,SREBF1,sterol regulatory element binding transcription factor 1
0.346,-0.32819702,MAP2,microtubule associated protein 2
0.346,-0.33351111,SP140,SP140 nuclear body protein
0.346,-0.40705792,LOC149684///BPI,uncharacterized LOC149684///bactericidal/permeability-increasing protein
0.346,-0.41629292,GIMAP1-GIMAP5///GIMAP5,"GIMAP1-GIMAP5 readthrough///GTPase, IMAP family member 5"
0.346,-0.41640384,,
0.347,0.15993521,RIPK1,receptor interacting serine/threonine kinase 1
0.347,-0.13265714,SERBP1,SERPINE1 mRNA binding protein 1
0.348,0.22052151,CUX1,cut like homeobox 1
0.348,-0.1772872,UBC,ubiquitin C
0.348,-0.20761669,SMTN,smoothelin
0.348,-0.27243144,CD33,CD33 molecule
0.348,-0.27818628,SLC26A2,solute carrier family 26 member 2
0.348,-0.30316534,NXPH4,neurexophilin 4
0.348,-0.30624165,FCGBP,Fc fragment of IgG binding protein
0.348,-0.45472651,GTF2H2,general transcription factor IIH subunit 2
0.349,0.29547359,ATM,ATM serine/threonine kinase
0.349,0.23860293,SETDB1,SET domain bifurcated 1
0.349,0.20054925,TUBGCP3,tubulin gamma complex associated protein 3
0.349,0.19275301,MAPKAP1,mitogen-activated protein kinase associated protein 1
0.349,-0.17166627,DMXL2,Dmx like 2
0.349,-0.23999693,CAMK1,calcium/calmodulin dependent protein kinase I
0.35,0.34096301,HCG26,HLA complex group 26 (non-protein coding)
0.35,0.25481567,GNS,glucosamine (N-acetyl)-6-sulfatase
0.35,0.17604249,BPTF,bromodomain PHD finger transcription factor
0.35,-0.13466679,ESD,esterase D
0.35,-0.212885,EPS15,epidermal growth factor receptor pathway substrate 15
0.35,-0.21487513,RPS6KB1,ribosomal protein S6 kinase B1
0.35,-0.2149715,POLR2J,RNA polymerase II subunit J
0.35,-0.2389641,ARFGEF1,ADP ribosylation factor guanine nucleotide exchange factor 1
0.35,-0.24563289,FAM49A,family with sequence similarity 49 member A
0.35,-0.25878348,,
0.35,-0.26060183,FMNL1,formin like 1
0.35,-0.30274371,CLEC4M,C-type lectin domain family 4 member M
0.35,-0.32017123,DLEC1,deleted in lung and esophageal cancer 1
0.35,-0.59990044,MS4A1,membrane spanning 4-domains A1
0.351,-0.1231507,ZC3H3,zinc finger CCCH-type containing 3
0.351,-0.38136687,PROZ,"protein Z, vitamin K dependent plasma glycoprotein"
0.351,-0.41357971,CHRNA6,cholinergic receptor nicotinic alpha 6 subunit
0.352,0.21164932,PAFAH1B2,platelet activating factor acetylhydrolase 1b catalytic subunit 2
0.352,0.18609797,STXBP1,syntaxin binding protein 1
0.352,-0.14793718,MED7,mediator complex subunit 7
0.352,-0.1809806,CDC42EP3,CDC42 effector protein 3
0.352,-0.38577921,DNM3,dynamin 3
0.353,0.32539228,BCAP29,B-cell receptor-associated protein 29
0.353,0.19571141,NUP58,nucleoporin 58
0.353,0.1581697,RPL36AL,ribosomal protein L36a like
0.353,0.15433443,PRPF3,pre-mRNA processing factor 3
0.353,0.12349031,CTNNB1,catenin beta 1
0.353,-0.1796872,TIMP3,TIMP metallopeptidase inhibitor 3
0.353,-0.29208477,CIB2,calcium and integrin binding family member 2
0.353,-0.29975061,ERCC4,"ERCC excision repair 4, endonuclease catalytic subunit"
0.353,-0.32247278,AP4S1,adaptor related protein complex 4 sigma 1 subunit
0.353,-0.45282048,SKIL,SKI-like proto-oncogene
0.354,0.37416077,CCR5,C-C motif chemokine receptor 5 (gene/pseudogene)
0.354,0.14420679,PSMD5,"proteasome 26S subunit, non-ATPase 5"
0.354,-0.15449459,MAPK14,mitogen-activated protein kinase 14
0.354,-0.25445939,KHK,ketohexokinase
0.354,-0.30045174,PURA,purine rich element binding protein A
0.354,-0.34499412,UBE3A,ubiquitin protein ligase E3A
0.355,-0.21830221,SCAPER,S-phase cyclin A associated protein in the ER
0.355,-0.26243711,,
0.355,-0.2711811,MED22,mediator complex subunit 22
0.355,-0.38415731,IL2RA,interleukin 2 receptor subunit alpha
0.355,-0.41793666,KIAA1107,KIAA1107
0.356,0.10328088,MAPK14,mitogen-activated protein kinase 14
0.357,0.26620316,PRKX,"protein kinase, X-linked"
0.357,-0.27625709,CALB2,calbindin 2
0.357,-0.29046521,FUT8,fucosyltransferase 8
0.358,0.34181455,AXL,AXL receptor tyrosine kinase
0.358,0.24499368,GRB7,growth factor receptor bound protein 7
0.358,-0.23150908,FAAH,fatty acid amide hydrolase
0.358,-0.35611248,ABLIM1,actin binding LIM protein 1
0.358,-0.43608131,,
0.359,0.66133407,IGHM,immunoglobulin heavy constant mu
0.359,0.28522601,ZKSCAN4,zinc finger with KRAB and SCAN domains 4
0.359,0.27019961,ODF2,outer dense fiber of sperm tails 2
0.359,0.2336381,GALK2,galactokinase 2
0.359,-0.15851144,WDR37,WD repeat domain 37
0.359,-0.20337951,TCL1B,T-cell leukemia/lymphoma 1B
0.359,-0.21936804,PIGO,phosphatidylinositol glycan anchor biosynthesis class O
0.359,-0.27153123,AHCYL2,adenosylhomocysteinase like 2
0.359,-0.29165858,ROBO1,roundabout guidance receptor 1
0.359,-0.30248625,GC,"GC, vitamin D binding protein"
0.36,0.26971864,MT1A,metallothionein 1A
0.36,0.23902821,CCNT2,cyclin T2
0.36,0.21936027,ITPK1,inositol-tetrakisphosphate 1-kinase
0.36,-0.292068,ALB,albumin
0.36,-0.3212955,CD84,CD84 molecule
0.36,-0.78663941,FABP4,fatty acid binding protein 4
0.361,0.2001011,BDH1,"3-hydroxybutyrate dehydrogenase, type 1"
0.361,-0.35552991,AGGF1,angiogenic factor with G-patch and FHA domains 1
0.362,0.1483381,TAF15,TATA-box binding protein associated factor 15
0.362,0.10281681,CIAPIN1,cytokine induced apoptosis inhibitor 1
0.362,-0.28484477,MNX1,motor neuron and pancreas homeobox 1
0.362,-0.2982331,FYN,"FYN proto-oncogene, Src family tyrosine kinase"
0.363,0.32819946,,
0.363,0.2275096,SELPLG,selectin P ligand
0.363,0.094114,DPH2,DPH2 homolog
0.363,-0.1380697,SEC62,"SEC62 homolog, preprotein translocation factor"
0.363,-0.33874747,FCN1,ficolin 1
0.364,0.31383954,KIAA0753,KIAA0753
0.364,0.27026474,IDS,iduronate 2-sulfatase
0.364,0.23580334,CYB561D2,cytochrome b561 family member D2
0.364,0.21265169,BRCA2,"BRCA2, DNA repair associated"
0.364,0.14181089,TIMM17A,translocase of inner mitochondrial membrane 17 homolog A (yeast)
0.364,0.12705979,RPS17,ribosomal protein S17
0.364,-0.26741376,P4HB,prolyl 4-hydroxylase subunit beta
0.364,-0.3807118,RFX4,regulatory factor X4
0.365,0.30409873,ANAPC10,anaphase promoting complex subunit 10
0.365,0.11102166,TNPO3,transportin 3
0.365,-0.12242869,BRD3,bromodomain containing 3
0.365,-0.18146236,ZNF7,zinc finger protein 7
0.365,-0.23305229,PEX5,peroxisomal biogenesis factor 5
0.365,-0.41140636,PCDHB17P,protocadherin beta 17 pseudogene
0.366,-0.30617836,CDH8,cadherin 8
0.367,0.36885069,MAGEA4,MAGE family member A4
0.367,0.28955367,PRKCD,protein kinase C delta
0.367,0.19034352,ZMIZ1,zinc finger MIZ-type containing 1
0.367,0.12063552,CTCF,CCCTC-binding factor
0.367,-0.15621406,FOXE1,forkhead box E1
0.367,-0.28044426,HEXA,hexosaminidase subunit alpha
0.368,0.22850236,SNX17,sorting nexin 17
0.368,0.14095208,VTI1B,vesicle transport through interaction with t-SNAREs 1B
0.368,-0.33129884,CCR6,C-C motif chemokine receptor 6
0.368,-0.33537458,HTR2B,5-hydroxytryptamine receptor 2B
0.369,0.30395728,CEP131,centrosomal protein 131
0.369,0.19451077,SNORD10///SNORA48///SNORA67///EIF4A1,"small nucleolar RNA, C/D box 10///small nucleolar RNA, H/ACA box 48///small nucleolar RNA, H/ACA box 67///eukaryotic translation initiation factor 4A1"
0.369,0.18446152,MET,"MET proto-oncogene, receptor tyrosine kinase"
0.369,0.1570846,MED6,mediator complex subunit 6
0.369,0.14802402,EEF1D,eukaryotic translation elongation factor 1 delta
0.369,0.13789744,JAK1,Janus kinase 1
0.369,0.13459876,IGF2R,insulin like growth factor 2 receptor
0.369,-0.11942653,RPS12,ribosomal protein S12
0.369,-0.21773603,ABCC9,ATP binding cassette subfamily C member 9
0.369,-0.25366522,CDK20,cyclin dependent kinase 20
0.369,-0.25403109,ATP2B1,ATPase plasma membrane Ca2+ transporting 1
0.369,-0.27378831,MECP2,methyl-CpG binding protein 2
0.369,-0.36125514,CEACAM5,carcinoembryonic antigen related cell adhesion molecule 5
0.369,-0.40501526,GNRHR,gonadotropin releasing hormone receptor
0.37,-0.32235785,GAB1,GRB2 associated binding protein 1
0.371,0.37116898,MPP6,membrane palmitoylated protein 6
0.371,0.18389992,ELAC2,elaC ribonuclease Z 2
0.371,0.17047346,DCTN6,dynactin subunit 6
0.371,-0.14761817,PRPF4B,pre-mRNA processing factor 4B
0.371,-0.31475383,XRCC2,X-ray repair cross complementing 2
0.371,-0.36064264,FASLG,Fas ligand
0.371,-0.43699413,TAF13,TATA-box binding protein associated factor 13
0.372,-0.2395955,INSIG1,insulin induced gene 1
0.372,-0.27678357,LIG3,DNA ligase 3
0.372,-0.36522294,WSCD2,WSC domain containing 2
0.373,0.48469645,CST4///CST2///CST1,cystatin S///cystatin SA///cystatin SN
0.373,0.39029017,RAB27B,"RAB27B, member RAS oncogene family"
0.373,0.27185493,APOC4-APOC2///APOC4///APOC2,APOC4-APOC2 readthrough (NMD candidate)///apolipoprotein C4///apolipoprotein C2
0.373,0.15175203,LARP7,La ribonucleoprotein domain family member 7
0.373,0.14697718,CAD,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase"
0.373,-0.18571249,HOXB7,homeobox B7
0.373,-0.21190961,TCEB3-AS1,TCEB3 antisense RNA 1
0.374,0.20305179,TANC2,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2"
0.374,0.16827173,ENC1,ectodermal-neural cortex 1
0.374,0.16384434,TRAPPC2B///TRAPPC2,trafficking protein particle complex 2B///trafficking protein particle complex 2
0.374,0.14757148,GM2A,GM2 ganglioside activator
0.374,-0.13812699,TERF1,telomeric repeat binding factor 1
0.374,-0.2422489,TOB2,"transducer of ERBB2, 2"
0.374,-0.31454675,FOXJ1,forkhead box J1
0.374,-0.3148238,ACTL6B,actin like 6B
0.374,-0.40274304,VWA5A,von Willebrand factor A domain containing 5A
0.374,-0.42088283,FAM216A,family with sequence similarity 216 member A
0.374,-0.48835487,FAM13C,family with sequence similarity 13 member C
0.375,0.21768187,CACNB3,calcium voltage-gated channel auxiliary subunit beta 3
0.375,0.13839164,NME3,NME/NM23 nucleoside diphosphate kinase 3
0.375,-0.25151226,CFI,complement factor I
0.375,-0.30910979,CRLF1,cytokine receptor like factor 1
0.375,-0.31180766,TNFSF4,tumor necrosis factor superfamily member 4
0.376,0.34990251,HES2,hes family bHLH transcription factor 2
0.376,0.25511781,,
0.376,-0.22409233,ADD3,adducin 3
0.377,0.36968673,MGAT2,"mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase"
0.377,-0.12701899,NCAPH2,non-SMC condensin II complex subunit H2
0.377,-0.1406277,BANF1,barrier to autointegration factor 1
0.377,-0.14808826,IPO13,importin 13
0.377,-0.15181377,FNTA,"farnesyltransferase, CAAX box, alpha"
0.377,-0.1872247,,
0.377,-0.20740872,IDH3B,isocitrate dehydrogenase 3 (NAD(+)) beta
0.377,-0.280988,KCNJ10,potassium voltage-gated channel subfamily J member 10
0.377,-0.30383549,DIO1,"deiodinase, iodothyronine type I"
0.377,-0.31077796,ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2
0.377,-0.36359333,IL1A,interleukin 1 alpha
0.377,-0.53280634,SCEL,sciellin
0.378,-0.24173519,HS6ST1,heparan sulfate 6-O-sulfotransferase 1
0.378,-0.35665309,TERF1,telomeric repeat binding factor 1
0.379,0.23048354,PLCG1,phospholipase C gamma 1
0.379,0.19990262,SNX13,sorting nexin 13
0.379,0.14027221,KRAS,"KRAS proto-oncogene, GTPase"
0.379,-0.13133793,MLEC,malectin
0.379,-0.22344308,CD8A,CD8a molecule
0.379,-0.2973761,MATN1,"matrilin 1, cartilage matrix protein"
0.38,-0.22196602,VEZF1,vascular endothelial zinc finger 1
0.381,0.1359437,PTPA,protein phosphatase 2 phosphatase activator
0.381,-0.0952223,PCGF1,polycomb group ring finger 1
0.381,-0.24820483,MYL12A,myosin light chain 12A
0.381,-0.25953415,ACVR1B,activin A receptor type 1B
0.382,-0.19856517,KHSRP,KH-type splicing regulatory protein
0.382,-0.22471746,ZFX,"zinc finger protein, X-linked"
0.382,-0.3014254,RBM19,RNA binding motif protein 19
0.383,0.19708762,LGALS8,galectin 8
0.383,-0.13143772,MRPS11,mitochondrial ribosomal protein S11
